Timestep,L_ASIS,L_Ankle_Lat,L_Heel,L_Knee_Lat,L_PSIS,L_Shank_Front,L_Shank_Rear,L_Shank_Upper,L_Thigh_Front,L_Thigh_Rear,L_Thigh_Upper,L_Toe_Lat,L_Toe_Med,L_Toe_Tip,R_ASIS,R_Ankle_Lat,R_Heel,R_Knee_Lat,R_PSIS,R_Shank_Front,R_Shank_Rear,R_Shank_Upper,R_Thigh_Front,R_Thigh_Rear,R_Thigh_Upper,R_Toe_Lat,R_Toe_Med,R_Toe_Tip
653,0.00622721,0.00528992,0.00497554,0.0067003,0.00609672,0.0103896,0.00770974,0.0108621,0.00593972,0.00696901,0.00599209,0.00467557,0.00475433,0.00517419,0.00310576,0.00328382,0.00171,0.00176423,0.00604033,0.00199488,0.00255362,0.00184079,0.00335847,0.00304736,0.00382274,0.00374032,0.00457307,0.000823806
654,0.00615911,0.00528932,0.00503401,0.00652544,0.00598641,0.0098752,0.00789051,0.0107317,0.00592082,0.00712733,0.00602628,0.00467771,0.0049724,0.00530082,0.00307881,0.00311636,0.00202841,0.00175576,0.00554185,0.00204588,0.00264305,0.00182565,0.00331773,0.00305148,0.0038331,0.00434844,0.0063383,0.00120668
655,0.00633777,0.00514482,0.00495024,0.00643272,0.00605327,0.00927754,0.00801699,0.0108743,0.0058649,0.007268,0.00599006,0.00481468,0.00490816,0.00539769,0.00308173,0.00306277,0.00225939,0.00174304,0.00503992,0.00210024,0.00270678,0.00185737,0.0032627,0.0030281,0.00380364,0.00458425,0.00734457,0.00158706
656,0.00659571,0.00500821,0.00487117,0.00641914,0.00605893,0.00929736,0.00812604,0.0112159,0.00571207,0.00743987,0.0059162,0.00522591,0.00475789,0.00537523,0.00300976,0.0031008,0.00235585,0.00170041,0.00461051,0.00200884,0.00275456,0.00188771,0.00319911,0.00302433,0.00376246,0.00462252,0.00730391,0.00167284
657,0.00650108,0.00528019,0.00524139,0.0061953,0.00585914,0.0118036,0.00812492,0.0113694,0.00553214,0.00767078,0.00592914,0.0056017,0.00494826,0.00548341,0.0029043,0.00316081,0.0024364,0.00169928,0.00420904,0.00195502,0.00279275,0.00191932,0.00310131,0.00300462,0.00371764,0.00471757,0.00724306,0.00172283
658,0.00628736,0.00381813,0.00423307,0.00693465,0.00552052,0,0,0.0118149,0.00576584,0.00797544,0.00600673,0.00574726,0.00462902,0.00512518,0.00303152,0.0031223,0.00249499,0.00173873,0.00383323,0.00192165,0.00277606,0.0018747,0.00296379,0.00287996,0.00355921,0.0047658,0.00726005,0.0017867
659,0.00609413,0.00689741,0.0074828,0.00524514,0.00544979,0.021868,0.00741601,0.0101989,0.0057495,0.00789828,0.00634005,0.00609731,0.00595297,0.00601121,0.00300553,0.00306583,0.00247577,0.00178541,0.00331999,0.00179466,0.00281388,0.001885,0.0029781,0.00305256,0.00374401,0.00489096,0.00707609,0.00171011
660,0.0062333,0.00398401,0.00440378,0.0064993,0.00526206,0,0,0.0113609,0.00579513,0.00807702,0.00599359,0.00526833,0.00446938,0.00498795,0.00309122,0.00300988,0.00242217,0.00181397,0.00310609,0.00172642,0.002795,0.00182738,0.00284237,0.00283619,0.00351828,0.00498876,0.00710796,0.00161904
661,0.00645927,0.00538259,0.00545302,0.0054193,0.00543783,0.011537,0.00806205,0.0110028,0.00540379,0.00778536,0.00576482,0.00498672,0.00500153,0.00540538,0.00289412,0.00301403,0.00241563,0.00182328,0.002946,0.00172316,0.00285427,0.00184068,0.00286333,0.00293535,0.00365656,0.00494493,0.00715632,0.00137868
662,0.006677,0.00514005,0.00518329,0.00589397,0.00542242,0.00940471,0.00804499,0.0113261,0.005279,0.00777632,0.00565748,0.00486472,0.00490613,0.00524256,0.00284721,0.00297883,0.0024784,0.00180319,0.0029215,0.00173567,0.00293996,0.00185768,0.00280852,0.00297468,0.00370789,0.00489756,0.00710954,0.00131579
663,0.00721847,0.00527311,0.0052123,0.0063272,0.0054494,0.00911347,0.00783576,0.0112692,0.00509042,0.00761647,0.00557895,0.00493736,0.00484661,0.00532862,0.00295194,0.00313316,0.0028315,0.00175731,0.00311851,0.00169648,0.00311399,0.00201378,0.00272986,0.00311728,0.00386013,0.00529581,0.00807622,0.00177211
664,0.00754661,0.00532637,0.00511223,0.00621415,0.00545563,0.00959908,0.00770972,0.0110509,0.00482444,0.00731648,0.0054216,0.00498347,0.00477086,0.00523482,0.00314257,0.00321607,0.00325466,0.00185899,0.00341938,0.00170669,0.00318141,0.00231984,0.00260808,0.00318063,0.00382741,0.00562219,0.00930662,0.00234358
665,0.00759671,0.00524035,0.00508505,0.0060702,0.00547303,0.00964908,0.00772518,0.0107898,0.00471181,0.00713155,0.00532575,0.0051819,0.00483867,0.00521114,0.00318509,0.00322428,0.00352044,0.0019675,0.00362493,0.00169697,0.00313248,0.00236481,0.00264192,0.00318662,0.00378795,0.0057167,0.00944931,0.00240472
666,0.00767054,0.00518374,0.005074,0.00598442,0.00550817,0.00947415,0.00812813,0.0105535,0.00476117,0.00712974,0.00535799,0.00522585,0.00485378,0.00526506,0.00326503,0.0034542,0.00333251,0.00201239,0.0038534,0.00159587,0.0029167,0.00222074,0.00262107,0.00314569,0.00381536,0.00506769,0.0069328,0.00151695
667,0.00767275,0.00517177,0.00496418,0.00583232,0.00555031,0.00936468,0.00877392,0.0102871,0.00482576,0.00707933,0.00553317,0.00516325,0.0048861,0.00528255,0.00363809,0.00375634,0.00292797,0.00195958,0.00446315,0.00144465,0.00285289,0.00215975,0.00243449,0.00323509,0.00399832,0.00469611,0.00428751,0.00120934
668,0.0076515,0.00517241,0.00494751,0.00581958,0.00543974,0.00900856,0.00791244,0.0104657,0.00471598,0.00684212,0.0054411,0.00521068,0.00480827,0.00529336,0.00375166,0.00370146,0.00312471,0.00189507,0.00486572,0.00144072,0.00305683,0.00220489,0.00236219,0.0032764,0.00402715,0.00519533,0.00561267,0.00103673
669,0.00774504,0.00511493,0.00501039,0.00590009,0.00539609,0.00927602,0.0074858,0.0106526,0.00453881,0.00669031,0.00523306,0.00522265,0.00477096,0.00520556,0.00346083,0.00358052,0.00327924,0.00187711,0.00511127,0.00148458,0.00318651,0.00223231,0.00226768,0.00322428,0.00391649,0.00555557,0.0068696,0.00102681
670,0.00789056,0.00505402,0.00493541,0.00611062,0.00535287,0.0095776,0.00745669,0.0107149,0.00437645,0.0065691,0.00506034,0.00543046,0.004721,0.00510402,0.00340246,0.00357445,0.0034426,0.00184509,0.00548355,0.00153847,0.00329897,0.002196,0.00226899,0.00321785,0.00393783,0.0056429,0.00720613,0.00125994
671,0.00792785,0.00508799,0.00491937,0.00617875,0.00531247,0.00974205,0.0074907,0.010701,0.00431393,0.00654545,0.00501719,0.00535164,0.00477409,0.00509965,0.00344762,0.00360069,0.00353704,0.00188506,0.00591392,0.00156194,0.00332868,0.00212157,0.0021968,0.00320272,0.00394124,0.00567784,0.00721006,0.00146025
672,0.00792015,0.00499057,0.00486132,0.00609497,0.00529747,0.00987665,0.00752,0.0105851,0.00419685,0.00645144,0.00496912,0.00557828,0.00482237,0.00516779,0.00361961,0.00362157,0.00359308,0.00196204,0.00645891,0.00155665,0.00332999,0.00210395,0.00216278,0.00323727,0.0039282,0.00562871,0.00706414,0.00147065
673,0.00787589,0.00504161,0.00485766,0.00584462,0.00526534,0.00987683,0.00747594,0.0104206,0.00419523,0.0064641,0.00497423,0.00548778,0.00484129,0.00520941,0.00387374,0.00361326,0.00362902,0.00204716,0.00698848,0.00157476,0.00331332,0.00208987,0.00214931,0.00324544,0.00394457,0.00559462,0.00695582,0.00133092
674,0.007904,0.00508835,0.00489882,0.00560205,0.00522708,0.00960396,0.0074236,0.0103182,0.0042857,0.00650278,0.00493516,0.00532089,0.00473355,0.00524411,0.00392796,0.0035192,0.00364235,0.00215145,0.0073501,0.00151294,0.00325761,0.00209554,0.00209238,0.00318551,0.00396368,0.00575987,0.00685924,0.00130479
