Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe,
126,0.018404,0.00531976,0.00504622,0.00375969,0.0134895,0,0.00853604,0.0056601,0.00790356,0.00615246,0.00638889,0.000768207,0,0,0.00643135,0.0158165,0.0186648,0.00997145,0.0202482,0.0168306,0.0182805,0.0151081,0.00649312,0.00482343,0.00516623,0.0109394,0,0.0172752,0.00600412,0.00943943,0.00762959,0,0,0.00816596,0.0126207,0.00313211,0.00600081,0.00847641,0.00813578,0.00214638,0.0146755,0.0166253,0.0289284,0.0311188,0.0120417,0.0272308,0.0138856,0.0139197,0.02741,0,0.00970542,0
127,0.0184179,0.00458523,0.00447572,0.00297668,0.0134303,0,0.00842488,0.00535482,0.00712163,0.00609473,0.00639824,0.000726153,0,0,0.00609651,0.0143175,0.0171493,0.009834,0.0185562,0.015474,0.0171569,0.0144102,0.00527301,0.00498292,0.00543217,0.0107547,0,0.0169847,0.00572775,0.0095096,0.00685046,0,0,0.00844924,0.0127194,0.00355823,0.0055915,0.00870852,0.0081028,0.00220201,0.0144662,0.0171078,0.0289846,0.0313147,0.0124589,0.0270251,0.0134762,0.0134935,0.0268978,0,0.0096662,0
128,0.0184472,0.00383794,0.00415526,0.00260522,0.0133075,0,0.00836655,0.00505811,0.00647545,0.00605717,0.00643477,0.00068042,0,0,0.00657135,0.012684,0.0154092,0.009603,0.0168121,0.014257,0.0160448,0.0139399,0.00384154,0.00512611,0.00572441,0.0105166,0,0.0166656,0.00547888,0.00961464,0.00607288,0,0,0.00869428,0.012785,0.00410873,0.00528743,0.00889453,0.00802106,0.00228754,0.0142342,0.0174774,0.028816,0.0312724,0.0128039,0.026381,0.012715,0.0125212,0.025932,0,0.00960473,0
129,0.0184793,0.00316442,0.00407338,0.00301943,0.0130957,0,0.0083661,0.0047763,0.00615887,0.00601601,0.00647359,0.000649172,0,0,0.00762297,0.0109773,0.0134958,0.0092898,0.0151908,0.0133287,0.0150523,0.0137196,0.00238555,0.00523812,0.00601387,0.0102384,0,0.0163274,0.00525783,0.0097414,0.00535597,0,0,0.00886673,0.012809,0.00473519,0.00510161,0.00903734,0.00791211,0.00240227,0.0139899,0.0176678,0.0284407,0.0310096,0.0129863,0.0254194,0.0117371,0.0112211,0.0246503,0,0.00952549,0
130,0.0185099,0.00265523,0.00414481,0.00396755,0.0127766,0,0.0084189,0.00451373,0.00623226,0.0059408,0.00650244,0.000678431,0,0,0.00882781,0.00926139,0.0114529,0.00892315,0.0138457,0.0127464,0.0142638,0.0136805,0.00110626,0.00531007,0.00627981,0.00993701,0,0.0159827,0.00506239,0.00987177,0.00475689,0,0,0.00894928,0.0127821,0.00540106,0.00500442,0.00915132,0.00781134,0.00255641,0.0137604,0.0176645,0.0279127,0.0305705,0.0129596,0.0243211,0.0107028,0.00987307,0.0232497,0,0.00943966,0
131,0.0185446,0.00239215,0.00426939,0.00507539,0.0123506,0,0.0085151,0.00427514,0.0066109,0.00583843,0.00652619,0.000839914,0,0,0.00987899,0.00766841,0.00937479,0.00854553,0.0128598,0.0124504,0.0137228,0.0137111,0.000670501,0.00534304,0.00651457,0.00963398,0,0.0156471,0.00489167,0.00998773,0.00431889,0,0,0.00894881,0.0126971,0.00607287,0.0049476,0.009248,0.00775294,0.00275223,0.013571,0.0175002,0.0273088,0.0300193,0.0127351,0.0232759,0.00975806,0.00873345,0.0219337,0,0.00935779,0
132,0.0185872,0.00241662,0.00436749,0.00618183,0.0118541,0,0.00863698,0.00406767,0.00715684,0.00576713,0.00655842,0.00116709,0,0,0.0106199,0.00642372,0.00744199,0.00814239,0.0122149,0.0123035,0.0134079,0.0136997,0.00142848,0.00534698,0.00672007,0.00935428,0,0.0153503,0.00474036,0.0100921,0.00404944,0,0,0.00890518,0.01254,0.00670591,0.00488894,0.00929248,0.00772495,0.00296845,0.0134905,0.0171675,0.0267045,0.0293938,0.0122979,0.0223373,0.00891623,0.00796056,0.0207962,0,0.00926402,0
133,0.0186573,0.00267623,0.00442933,0.00708472,0.0112884,0,0.00878048,0.00390344,0.00775929,0.00574967,0.00662805,0.00160246,0,0,0.0110791,0.00595677,0.00613653,0.00793621,0.0118909,0.0122227,0.0133674,0.0136989,0.00229618,0.00533595,0.00691581,0.00912202,0,0.0150784,0.00461935,0.0101397,0.00397592,0,0,0.00880618,0.0123514,0.00730531,0.00481072,0.0093803,0.00780937,0.00318794,0.0133565,0.0169122,0.026179,0.028872,0.0119094,0.0218389,0.00850734,0.00761868,0.0200867,0,0.00920962,0
134,0.0187429,0.0030503,0.00440795,0.00782677,0.010772,0,0.00891145,0.00379891,0.00830395,0.00581651,0.00672937,0.00211269,0,0,0.0112397,0.00617278,0.00559331,0.00767032,0.0117814,0.0121247,0.0134355,0.0136271,0.00295796,0.00532791,0.00710776,0.00898948,0,0.0148659,0.00452512,0.0101672,0.00404952,0,0,0.00869155,0.012116,0.0077668,0.00472004,0.00942238,0.00791147,0.00338191,0.0132916,0.0166335,0.0257654,0.0284309,0.01147,0.0215645,0.00832461,0.00764056,0.0196936,0,0.00914151,0
135,0.0188482,0.00342854,0.00432996,0.00830119,0.01035,0,0.00897685,0.00375645,0.0087107,0.00590306,0.00686322,0.00264129,0,0,0.0112016,0.00681205,0.00574058,0.00743852,0.0118783,0.012049,0.0135618,0.0135704,0.00341589,0.00532484,0.00730216,0.00897995,0,0.0147237,0.00446368,0.0101688,0.00424008,0,0,0.00855525,0.0118548,0.008084,0.00462386,0.00943347,0.00801447,0.0035492,0.0132536,0.0164011,0.0254837,0.0281259,0.011058,0.0214939,0.00837414,0.00792685,0.0196037,0,0.00905663,0
136,0.0189974,0.00375442,0.00421418,0.00849258,0.010098,0,0.00886382,0.00376553,0.00892273,0.00596146,0.00701794,0.00316314,0,0,0.0110606,0.00754058,0.00613816,0.00727425,0.0122015,0.0120804,0.0136776,0.0135874,0.00365812,0.00531156,0.00749171,0.00915623,0,0.0146767,0.00444751,0.0101491,0.00450602,0,0,0.00838553,0.0115743,0.00822293,0.00451841,0.00942335,0.00809819,0.00369803,0.0132149,0.0162484,0.0253267,0.0279709,0.0107125,0.021597,0.00862751,0.0083954,0.0198072,0,0.00895203,0
137,0.019261,0.00408805,0.00401106,0.00847568,0.0101483,0,0.00835984,0.00380804,0.00894146,0.00599655,0.00718363,0.00367597,0,0,0.0109561,0.00823568,0.00651007,0.00726604,0.0128735,0.0123887,0.013807,0.0137618,0.00373451,0.00524696,0.0076573,0.00969662,0,0.0147807,0.00449459,0.0101145,0.00479785,0,0,0.00817009,0.0112727,0.00811764,0.00430333,0.00939431,0.00815053,0.00382625,0.0131418,0.0161872,0.0252598,0.0279378,0.0104558,0.0219345,0.0090917,0.00902205,0.0203778,0,0.00882718,0
138,0.0197635,0.00490707,0.00340636,0.00845307,0.0109083,0,0.00719595,0.00393435,0.0088495,0.00611223,0.00735686,0.00418014,0,0,0.0111964,0.00902009,0.00688997,0.00761172,0.0144161,0.0134274,0.0142682,0.0143149,0.00380453,0.00507521,0.00778486,0.0112544,0,0.0151508,0.00464437,0.0100803,0.00502279,0,0,0.00791761,0.0109594,0.00764864,0.00351645,0.00932537,0.0081523,0.00388365,0.0129618,0.0162298,0.0252147,0.0279555,0.0103351,0.0228832,0.00995299,0.0099185,0.0217221,0,0.00868067,0
