Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_mankle,L_mknee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_mankle,r_mknee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
460,0.0153923,0.00552706,0.00795965,0.00191651,0.0125327,0,0.00835579,0.00502596,0.00537251,0.00425985,0.0081321,0.00688208,0,0,0.0207311,0.0119708,0.010033,0.0227991,0.0146379,0.0195684,0.0255292,0.0340517,0.02162,0.0176834,0.00284435,0.00326196,0.00594944,0.0103889,0,0.0145608,0.0061381,0.00851644,0.010288,0,0,0.00628467,0.00815832,0.00566754,0.00625087,0.00329296,0.00588039,0.00654588,0.0270315,0.0183564,0.0162274,0.0134709,0.0227263,0.0146805,0.0197031,0.0197959,0.0277417,0.0230769,0.0190351,0.0138548,0.00316994
461,0.0153901,0.00549667,0.0079742,0.00192275,0.0125715,0,0.00836918,0.00500267,0.00538822,0.00426836,0.00811472,0.00689513,0,0,0.0206723,0.0119565,0.0101244,0.0228048,0.0146435,0.01951,0.025502,0.0340538,0.0216438,0.0177495,0.00284691,0.00330598,0.00601535,0.010348,0,0.0145814,0.00611876,0.00847086,0.0102385,0,0,0.00627849,0.00824496,0.00570769,0.00622301,0.00325275,0.00586716,0.00650988,0.02707,0.0183752,0.0162307,0.0134352,0.0227423,0.0146229,0.0197326,0.0197586,0.0277638,0.02303,0.0190188,0.0137674,0.00317424
462,0.0153905,0.00546598,0.00798141,0.00191346,0.0125988,0,0.00837638,0.00498347,0.00536683,0.00427476,0.00809015,0.00689189,0,0,0.0206784,0.0119461,0.0101732,0.0228056,0.014645,0.0194814,0.02548,0.0340706,0.0216356,0.0177825,0.00285043,0.00331985,0.00602709,0.0103277,0,0.0145935,0.00612649,0.0084596,0.0102316,0,0,0.00625742,0.00824504,0.00571754,0.00620396,0.00323006,0.00587731,0.00649855,0.0271097,0.0183752,0.0162397,0.0134409,0.0227157,0.0145923,0.0197346,0.0197627,0.027823,0.0230148,0.0190179,0.0137309,0.00315944
463,0.0153697,0.0054184,0.00799674,0.00189698,0.0125736,0,0.00836228,0.00496283,0.00534833,0.00428806,0.00806114,0.00688599,0,0,0.0207339,0.0119565,0.0101561,0.0228078,0.0146566,0.0194817,0.025472,0.034074,0.0216602,0.0178561,0.00285304,0.00328304,0.00605396,0.0103556,0,0.014635,0.00613999,0.00846112,0.0102792,0,0,0.00616952,0.00820546,0.0056825,0.00619607,0.00324039,0.00589159,0.00651965,0.0271367,0.0183841,0.0162407,0.0134767,0.0226589,0.0145743,0.0197107,0.0198328,0.0278733,0.0231196,0.019061,0.0137934,0.00313903
464,0.0153323,0.00538656,0.00800866,0.00189851,0.0125356,0,0.00836916,0.00495346,0.00537413,0.00427257,0.00806271,0.00690654,0,0,0.0208329,0.0119568,0.0101564,0.0227872,0.0146486,0.0194766,0.0254733,0.0340582,0.0216714,0.0179235,0.0028376,0.00324073,0.00612596,0.0103612,0,0.0146651,0.00615436,0.00847136,0.0103185,0,0,0.0061581,0.00814875,0.0056435,0.0062119,0.0032528,0.00589885,0.00653706,0.0271584,0.0183833,0.0162351,0.0134985,0.0226568,0.0145474,0.0196939,0.019883,0.0278677,0.0232622,0.0191001,0.0138536,0.00313348
465,0.0153589,0.00548097,0.00795185,0.00186936,0.0125712,0,0.00843651,0.0049435,0.00537777,0.00431405,0.00813259,0.00687812,0,0,0.0209175,0.011937,0.0102236,0.0226548,0.0145034,0.0194277,0.025491,0.034071,0.0215585,0.0178273,0.00283156,0.00333887,0.00606107,0.0103389,0,0.0145742,0.00616093,0.00856037,0.0102813,0,0,0.00622648,0.00804225,0.00568032,0.00623092,0.0032442,0.00589318,0.00651285,0.0271663,0.0183781,0.0162077,0.0134982,0.0227544,0.0145452,0.0196989,0.0198206,0.0278108,0.0232506,0.0190651,0.0138451,0.00314747
466,0.0153432,0.00552068,0.00790929,0.00185697,0.012598,0,0.00846369,0.00494457,0.00540027,0.00429196,0.00813957,0.00681005,0,0,0.0208938,0.0119248,0.0102911,0.0226364,0.0144543,0.0194554,0.0254958,0.034072,0.0215501,0.0177593,0.00282477,0.00335092,0.00603983,0.0103193,0,0.0145312,0.0060859,0.00853167,0.0102364,0,0,0.00625884,0.00807256,0.00574456,0.00627065,0.00324515,0.00587741,0.00650184,0.0271523,0.0183739,0.0161966,0.0134627,0.0228785,0.0145665,0.019716,0.0197698,0.027844,0.0231912,0.0190034,0.0138267,0.00314158
467,0.0153551,0.00550722,0.00789743,0.00185495,0.0126084,0,0.00846217,0.00494441,0.00540579,0.00426506,0.00808631,0.0067812,0,0,0.0207765,0.0119618,0.0102986,0.0226756,0.0144715,0.0194639,0.0255324,0.0340744,0.0216092,0.0177634,0.00282597,0.00333395,0.00599888,0.0103175,0,0.0145437,0.00602252,0.00851215,0.0102171,0,0,0.00627798,0.00815939,0.0057386,0.00623852,0.0032761,0.00585509,0.00650158,0.0271162,0.0183612,0.0161806,0.0134159,0.022905,0.0145877,0.0196937,0.0197429,0.0278813,0.0231869,0.0189906,0.0138063,0.0031344
468,0.0153774,0.00544659,0.00792683,0.00186162,0.0125908,0,0.00845854,0.00492015,0.00541491,0.00426715,0.0080154,0.00682402,0,0,0.0206881,0.0120126,0.0102481,0.0226605,0.0144897,0.0194535,0.0255778,0.034101,0.0216719,0.0178116,0.0028263,0.00331454,0.00597012,0.0103349,0,0.0145919,0.00601044,0.00848396,0.0102287,0,0,0.00628946,0.00828329,0.00565177,0.00615434,0.00329322,0.00584289,0.00650185,0.027104,0.0183431,0.0161711,0.0133984,0.0228771,0.0145839,0.019659,0.0197711,0.0278782,0.023274,0.0190614,0.0138468,0.00314546
469,0.0153684,0.00541599,0.0079519,0.00187375,0.0125656,0,0.00847163,0.00488912,0.00544204,0.00428476,0.00800675,0.00684986,0,0,0.0206873,0.0120261,0.0101736,0.0225808,0.0144753,0.0194852,0.0255335,0.0341424,0.0216871,0.0178254,0.00283376,0.00330326,0.00596212,0.0103435,0,0.0146058,0.00600965,0.00843435,0.0102735,0,0,0.00629558,0.00836545,0.00560769,0.00612586,0.00326168,0.00584703,0.00649801,0.0271291,0.0183293,0.0161811,0.0134028,0.0228891,0.0145506,0.0196468,0.0198286,0.0279136,0.0233878,0.019121,0.0139118,0.00315841
